54,47
45,29
41,65
55,62
63,33
68,27
29,21
45,45
7,1
43,43
21,6
61,55
59,45
30,45
33,49
45,64
41,31
55,33
19,7
61,46
23,19
52,63
12,7
35,42
58,65
39,57
51,51
49,58
68,25
12,5
41,63
38,49
19,23
3,22
32,17
64,33
41,67
45,57
56,41
59,65
23,5
21,19
29,15
65,45
43,40
67,29
39,45
1,5
69,30
67,37
21,26
40,49
63,69
43,61
29,23
31,41
6,31
37,49
64,69
43,64
61,41
67,41
39,70
3,1
69,35
63,29
41,56
70,61
21,13
58,49
51,57
46,57
69,67
15,15
3,8
8,19
51,59
68,69
37,60
16,15
59,44
55,43
69,36
43,53
39,58
29,40
15,14
65,38
47,46
41,41
55,58
33,39
21,7
41,37
58,67
63,59
57,55
7,33
43,67
39,44
65,29
7,25
17,26
1,11
63,26
65,34
38,61
51,53
39,42
17,32
53,57
20,27
51,62
7,3
31,49
45,47
3,11
37,41
62,39
27,20
26,49
37,52
56,69
21,18
7,23
1,2
15,13
67,57
45,49
53,44
35,41
31,11
45,40
18,25
67,63
34,41
25,47
63,47
5,22
51,40
44,35
55,34
7,0
66,35
13,5
48,53
37,44
43,57
43,66
67,46
57,58
9,1
65,37
19,5
42,43
62,43
47,50
7,21
63,61
69,25
15,1
27,25
37,46
45,65
9,2
48,29
39,69
31,46
43,59
26,47
20,9
69,23
69,31
7,27
13,8
18,13
13,3
63,55
17,5
21,27
57,41
61,57
45,35
53,50
39,67
68,33
43,52
67,27
37,34
43,58
49,45
4,1
15,6
61,53
29,39
40,59
47,7
17,16
21,20
31,42
44,45
46,33
7,15
19,15
48,49
57,60
48,61
44,43
14,1
19,16
59,61
53,41
15,21
53,68
57,63
43,31
53,53
7,37
42,67
39,36
41,45
45,66
41,52
40,33
59,64
5,14
59,58
39,61
64,65
19,1
29,3
1,4
55,36
20,13
56,51
44,69
36,49
63,36
24,21
43,37
68,59
49,53
15,36
33,69
4,19
67,60
22,39
24,15
35,49
25,45
58,61
19,18
23,1
49,55
55,56
3,18
56,63
6,15
36,51
1,9
11,7
60,59
51,52
69,34
49,69
44,49
51,67
43,32
39,46
47,41
41,54
3,15
51,49
